                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.99857,                0.59221,                  1.084,                0.96491,                0.94466,                0.98388,                0.71347,                0.93657,                0.58817,                 1.0387,             0.00085415,             0.00085415,             0.00085415
                     75,                 1.0074,                 0.5836,                 1.0847,                0.97006,                0.93961,                0.98333,                0.71581,                0.92521,                0.58586,                 1.0376,             0.00085215,             0.00085215,             0.00085215
                     76,                 1.0042,                0.59338,                 1.0848,                0.96651,                 0.9446,                0.98462,                0.71402,                0.94759,                0.57836,                 1.0411,             0.00085015,             0.00085015,             0.00085015
                     77,                0.98726,                0.58128,                 1.0731,                0.96223,                0.94558,                0.98488,                0.71551,                0.94523,                0.57344,                 1.0401,             0.00084815,             0.00084815,             0.00084815
                     78,                0.99408,                0.58335,                 1.0792,                0.96291,                 0.9446,                0.98406,                0.71497,                 0.9544,                0.57721,                 1.0402,             0.00084615,             0.00084615,             0.00084615
                     79,                0.98842,                0.58217,                 1.0788,                0.96273,                0.94455,                 0.9841,                 0.7186,                0.92793,                0.57874,                 1.0375,             0.00084416,             0.00084416,             0.00084416
                     80,                0.98919,                0.57914,                 1.0723,                0.95727,                0.95564,                 0.9832,                0.71887,                0.92915,                0.57769,                 1.0401,             0.00084216,             0.00084216,             0.00084216
                     81,                0.98767,                0.58288,                 1.0779,                0.95307,                0.95789,                0.98316,                0.71356,                0.95329,                0.57481,                 1.0419,             0.00084016,             0.00084016,             0.00084016
                     82,                0.97783,                0.57487,                 1.0739,                0.95442,                0.95734,                0.98324,                0.71732,                0.93903,                 0.5723,                 1.0397,             0.00083816,             0.00083816,             0.00083816
                     83,                0.98732,                0.57794,                 1.0774,                0.95818,                0.95213,                0.98435,                0.71695,                0.93738,                0.56957,                 1.0396,             0.00083616,             0.00083616,             0.00083616
                     84,                 1.0002,                0.57914,                 1.0827,                0.95982,                0.95292,                0.98516,                0.71091,                0.95828,                0.57114,                  1.041,             0.00083417,             0.00083417,             0.00083417
                     85,                0.98337,                 0.5684,                 1.0759,                0.95521,                0.95695,                0.98525,                0.71437,                0.94014,                 0.5664,                  1.038,             0.00083217,             0.00083217,             0.00083217
                     86,                0.99113,                0.56964,                 1.0785,                0.95553,                0.95238,                0.98517,                0.71458,                 0.9485,                 0.5642,                 1.0413,             0.00083017,             0.00083017,             0.00083017
                     87,                0.98473,                0.57515,                 1.0751,                0.95826,                0.95014,                  0.984,                0.71461,                0.95362,                0.56825,                 1.0419,             0.00082817,             0.00082817,             0.00082817
                     88,                0.97762,                 0.5698,                 1.0728,                0.96176,                0.94848,                0.98496,                0.70974,                0.96278,                0.56802,                 1.0454,             0.00082617,             0.00082617,             0.00082617
                     89,                0.99448,                0.57953,                 1.0793,                0.95499,                0.95125,                0.98379,                0.71526,                0.93734,                0.56862,                 1.0408,             0.00082418,             0.00082418,             0.00082418
                     90,                0.96243,                0.56622,                 1.0624,                0.95819,                0.95221,                0.98511,                0.71293,                0.95528,                0.56592,                 1.0428,             0.00082218,             0.00082218,             0.00082218
                     91,                0.98065,                 0.5679,                 1.0743,                0.95678,                0.95402,                0.98458,                0.70204,                 1.0003,                 0.5688,                 1.0513,             0.00082018,             0.00082018,             0.00082018
                     92,                0.98108,                0.57037,                  1.074,                 0.9552,                0.95235,                0.98519,                0.71378,                0.94768,                0.56385,                 1.0401,             0.00081818,             0.00081818,             0.00081818
                     93,                0.97206,                 0.5642,                 1.0679,                0.95313,                0.95766,                0.98302,                0.71584,                0.93794,                0.55946,                 1.0383,             0.00081618,             0.00081618,             0.00081618
                     94,                0.97252,                0.56092,                  1.066,                0.95159,                0.95836,                0.98343,                0.71743,                0.91947,                0.56066,                 1.0363,             0.00081419,             0.00081419,             0.00081419
                     95,                 0.9635,                0.55827,                 1.0666,                0.94954,                0.95913,                0.98369,                0.71753,                0.93672,                0.55656,                 1.0383,             0.00081219,             0.00081219,             0.00081219
                     96,                0.97967,                0.56157,                 1.0753,                0.95986,                0.95382,                0.98485,                0.72064,                0.93173,                0.55391,                 1.0353,             0.00081019,             0.00081019,             0.00081019
                     97,                0.98124,                0.56349,                 1.0707,                 0.9589,                0.95651,                0.98505,                0.70811,                0.96717,                0.56096,                 1.0415,             0.00080819,             0.00080819,             0.00080819
                     98,                0.97473,                0.55632,                 1.0696,                0.95878,                0.95512,                0.98571,                0.71835,                 0.9337,                0.55416,                 1.0357,             0.00080619,             0.00080619,             0.00080619
                     99,                0.97621,                0.55847,                 1.0687,                 0.9605,                0.94626,                0.98517,                0.71258,                0.96377,                0.55704,                 1.0415,              0.0008042,              0.0008042,              0.0008042
                    100,                0.97202,                0.55574,                 1.0656,                0.96815,                0.94183,                0.98378,                0.71601,                0.94616,                0.55233,                 1.0384,              0.0008022,              0.0008022,              0.0008022
                    101,                0.96539,                0.55467,                 1.0647,                0.97021,                0.94183,                0.98656,                0.71215,                0.96311,                0.55416,                 1.0409,              0.0008002,              0.0008002,              0.0008002
                    102,                0.96109,                0.55377,                 1.0657,                0.96863,                0.94101,                0.98603,                0.71242,                0.95918,                0.55498,                 1.0427,              0.0007982,              0.0007982,              0.0007982
                    103,                 0.9649,                0.55356,                 1.0643,                0.96495,                 0.9457,                0.98561,                0.71927,                0.93605,                0.55349,                 1.0376,              0.0007962,              0.0007962,              0.0007962
                    104,                0.96985,                0.55479,                 1.0678,                0.95977,                0.95291,                 0.9862,                0.71756,                0.94425,                0.55625,                 1.0393,             0.00079421,             0.00079421,             0.00079421
                    105,                0.98334,                0.55435,                 1.0671,                0.96281,                0.95069,                0.98534,                0.71808,                 0.9307,                0.55321,                 1.0379,             0.00079221,             0.00079221,             0.00079221
                    106,                0.96525,                0.55086,                 1.0626,                0.96582,                0.94515,                0.98561,                0.72231,                0.92858,                0.54993,                 1.0374,             0.00079021,             0.00079021,             0.00079021
                    107,                0.96629,                 0.5497,                 1.0654,                0.95627,                0.95715,                0.98569,                0.71741,                0.95431,                0.54895,                 1.0405,             0.00078821,             0.00078821,             0.00078821
                    108,                0.95482,                0.54984,                 1.0644,                0.95776,                0.95512,                0.98539,                  0.715,                0.96498,                0.54767,                 1.0402,             0.00078621,             0.00078621,             0.00078621
                    109,                0.95951,                0.54976,                 1.0621,                0.96355,                0.95192,                0.98659,                0.72133,                0.92504,                0.54344,                 1.0343,             0.00078422,             0.00078422,             0.00078422
                    110,                0.95679,                0.55189,                 1.0616,                0.95935,                0.95436,                0.98556,                0.71234,                0.96754,                0.54619,                 1.0411,             0.00078222,             0.00078222,             0.00078222
                    111,                0.97322,                0.55407,                 1.0663,                0.95851,                0.95014,                0.98438,                0.72897,                0.91012,                0.54522,                 1.0317,             0.00078022,             0.00078022,             0.00078022
                    112,                0.96223,                0.54462,                 1.0601,                0.95624,                 0.9563,                0.98514,                0.72368,                0.93638,                0.54345,                 1.0337,             0.00077822,             0.00077822,             0.00077822
                    113,                0.95427,                0.54952,                 1.0604,                0.95728,                0.95845,                0.98524,                0.72074,                0.93442,                0.54007,                 1.0367,             0.00077622,             0.00077622,             0.00077622
                    114,                0.96435,                0.55064,                 1.0675,                0.95239,                0.96011,                0.98529,                0.71414,                0.95325,                0.54697,                   1.04,             0.00077423,             0.00077423,             0.00077423
